SI_max,Arrival_Mean,Web_Mean,Spike_Mean,CV,Arrival_Rate,web_response_time_Mean,web_response_time_Variance,web_response_time_CI95,spike_response_time_Mean,spike_response_time_Variance,spike_response_time_CI95,total_response_time_Mean,total_response_time_Variance,total_response_time_CI95,utilization_web_Mean,utilization_web_Variance,utilization_web_CI95,utilization_spike_Mean,utilization_spike_Variance,utilization_spike_CI95,throughput_web_Mean,throughput_web_Variance,throughput_web_CI95,throughput_spike_Mean,throughput_spike_Variance,throughput_spike_CI95,throughput_total_Mean,throughput_total_Variance,throughput_total_CI95,scaling_actions_Mean,scaling_actions_Variance,scaling_actions_CI95
10,0.15,0.16,0.16,4.0,7.0,0.9096306148578214,0.001467222327290097,0.007507650293212675,0.45891464373540647,0.003447850029388032,0.011508805616960025,0.8053440105906735,0.0009469486628925749,0.0060314160720083936,0.8238669986291342,0.00029541450479302647,0.0033687747945104467,0.24716911458953916,0.0005659907728478279,0.004662949874245074,5.128562908899379,0.011098792032384789,0.020648757703941756,1.5438510353858759,0.015882462048813717,0.024701025526630015,6.672413944285254,0.02917368125833565,0.0334773974379763,2222.4100000000003,16637.395858585856,25.28126182182041
20,0.15,0.16,0.16,4.0,7.0,1.7015077719104057,0.010146949435953219,0.019743485242772585,0.4206788442358001,0.0027059578754489518,0.010195689174511302,1.506328621637355,0.0045136563077269945,0.013168015063692789,0.9085566488679931,0.0002761426243269907,0.003257037773214439,0.16146018647520366,0.0005632453169933004,0.004651626822694898,5.654655875449833,0.011136490635811727,0.020683796176363355,1.0104632459512854,0.018505023008046913,0.026662501080677522,6.66511912140112,0.02919113160800432,0.03348740825822587,1539.72,25759.617777777785,31.457613967863352
30,0.15,0.16,0.16,4.0,7.0,2.5320034272787213,0.03668426400161843,0.03754014765402733,0.40439423103394345,0.0018805180306356822,0.00849952826131547,2.278603682719459,0.01736584371229957,0.025828787274119167,0.9453671381838055,0.00022850925685915778,0.0029628384383056402,0.1253347215191754,0.0006415810952114248,0.004964572424050443,5.8695014865662385,0.011800623670647372,0.021291612407978628,0.7849984078386603,0.023240565602259483,0.029879919146082047,6.6544998944049,0.029709281274893966,0.033783305780463915,1191.5399999999997,31715.36202020204,34.90526245952151
40,0.15,0.16,0.16,4.0,7.0,3.425193328808297,0.09538611529740527,0.06053389963702257,0.40612007741847556,0.0023326131802899486,0.009466238320157519,3.117958374878891,0.05005788991564699,0.04385229639368382,0.9647702184695951,0.00020223499015804285,0.0027873032454168627,0.10651644386776633,0.0006363769425890511,0.004944396487590875,5.977906076165277,0.01098141512587575,0.02053928050043727,0.6665451836577851,0.023619367337255642,0.030122443719393235,6.644451259823064,0.028336838975752805,0.03299375707755211,995.6199999999999,36760.58141414141,37.57917635613714
50,0.15,0.16,0.16,4.0,7.0,4.356688504614335,0.2162849592034962,0.091152635687409,0.4164680536823107,0.003055912731206965,0.010834940861954289,4.000006726967953,0.12174069490617036,0.06838706409486695,0.9768638722513872,0.00015915874365318513,0.0024726993946253876,0.09378731899964615,0.0006844567331776063,0.005127776307694293,6.050158275541811,0.01091229751518053,0.02047454080909204,0.5882435573765106,0.02560887916079374,0.03136543801449379,6.638401832918321,0.027963208639187793,0.032775518654676365,856.7099999999999,44413.72313131311,41.3061446737955
60,0.15,0.16,0.16,4.0,7.0,5.367466857800347,0.408322666558346,0.125244255590847,0.4113300648762782,0.003328698040822487,0.011308194548036244,4.950717510089896,0.24082101370417125,0.09618409464386221,0.9837580311224543,0.00012014625157258039,0.0021483804133375093,0.08671709318115477,0.0007403304783887356,0.005332966871993644,6.080873524938639,0.01123417775192032,0.02077431521176501,0.5424344044027474,0.027508438120253786,0.0325079091734253,6.6233079293413875,0.02768706925896702,0.03261328644360266,776.5300000000001,44977.908181818166,41.56767158156356
70,0.15,0.16,0.16,4.0,7.0,6.4252798174463335,0.7237293453462825,0.16674167604658047,0.4076078144448103,0.0030004572224579854,0.01073618017070997,5.946746867945878,0.4458744260262384,0.1308767051473408,0.9881529175282562,0.00010390766537060774,0.0019979281450736076,0.08110109710360712,0.000746577381984447,0.005355419377258378,6.101769454432789,0.011446537013407141,0.020969744059168887,0.5090936700924856,0.02845820245843699,0.033064335856679714,6.6108631245252765,0.027376289194268086,0.03242973212481106,720.5100000000003,47490.636262626256,42.71299898935979
80,0.15,0.16,0.16,4.0,7.0,7.519774951612598,1.1510844295072955,0.2102856615272479,0.4128551080775918,0.004407483067573551,0.013012220007512381,6.981261573473043,0.7268386288078353,0.16709946967085743,0.9911550708631109,8.78678147387578e-05,0.0018372615412630066,0.07649703978975549,0.0007806780187556822,0.00547636072300924,6.115933806434292,0.012140587988292192,0.021596129934741384,0.48139157422696754,0.029970333251748284,0.03393140613353891,6.597325380661258,0.02597319364899547,0.03158775407052248,669.9900000000004,48634.87868686867,43.22450114963441
90,0.15,0.16,0.16,4.0,7.0,8.615723587686109,1.674550478526876,0.2536326697866197,0.40703191566284064,0.002763735325395947,0.010303963133688449,8.020435213140056,1.0761852743140172,0.20332912604456668,0.9935622918380066,7.374269699945894e-05,0.001683121934956352,0.07262047868083008,0.0008014906145612646,0.005548879476884098,6.127721233792645,0.013568673176656328,0.022830990971800358,0.4573932379292389,0.031038579423160084,0.03453082777924847,6.5851144717218855,0.026378751531197522,0.03183341198838861,632.5999999999999,51261.0505050505,44.376170589653405
100,0.15,0.16,0.16,4.0,7.0,9.73759482945539,2.3599137028031754,0.30109540814646574,0.40401783916132505,0.004603712884987844,0.013298730548052059,9.086585425209073,1.547596354765729,0.24382875458952794,0.9949501594598938,6.56768881990715e-05,0.0015884090584781776,0.06906087569544621,0.0008277100139225301,0.005638910169070609,6.13522686491071,0.014206883336355919,0.023361755718469643,0.43704636505630934,0.03184116765424191,0.034974423463516265,6.572273229967018,0.026189088581604243,0.03171876458740013,600.6300000000001,53038.03343434341,45.13877592950142
110,0.15,0.16,0.16,4.0,7.0,10.885121591979482,3.1192119621628627,0.34616130161883857,0.412625635184936,0.0054874880152933,0.01451920588722081,10.182328086249228,2.088550912783932,0.2832556651957866,0.9957871248695355,5.942085955657517e-05,0.0015108645673009185,0.06575566246792793,0.0007909735613661608,0.005512353429656196,6.136736168294061,0.014551492665064123,0.023643395319224002,0.4177410589467871,0.03223140256994206,0.03518808834146712,6.55447722724085,0.025685603493603857,0.03141238838118308,564.8,53068.888888888876,45.15190400808758
