Seed,SI_max,Arrival_Rate,Time,Transient_Response_Time_Mean,Transient_Response_Time_Variance,Transient_Response_Time_CI95
8,80,3,0.0,0.0,0.0,0.0
8,80,3,100.0,0.29788638333714657,0.0,0.0
8,80,3,200.0,0.30213478576665564,0.0,0.0
8,80,3,300.0,0.3008444259022631,0.0,0.0
8,80,3,400.0,0.38672479413921484,0.0,0.0
8,80,3,500.0,0.36257170440198827,0.0,0.0
8,80,3,600.0,0.34005161064126466,0.0,0.0
8,80,3,700.0,0.4273527754120557,0.0,0.0
8,80,3,800.0,0.4957219926919095,0.0,0.0
8,80,3,900.0,0.47726229198154285,0.0,0.0
8,80,3,1000.0,0.46843552360320734,0.0,0.0
8,80,3,1100.0,0.445597700032745,0.0,0.0
8,80,3,1200.0,0.4729612461924428,0.0,0.0
8,80,3,1300.0,0.4977286387337859,0.0,0.0
8,80,3,1400.0,0.4962229950070814,0.0,0.0
8,80,3,1500.0,0.49590812752402474,0.0,0.0
8,80,3,1600.0,0.4802713751467537,0.0,0.0
8,80,3,1700.0,0.4664950098808773,0.0,0.0
8,80,3,1800.0,0.45652862577176856,0.0,0.0
8,80,3,1900.0,0.44381066536723907,0.0,0.0
8,80,3,2000.0,0.43546599480781056,0.0,0.0
8,80,3,2100.0,0.42829619726290147,0.0,0.0
8,80,3,2200.0,0.420724287826955,0.0,0.0
8,80,3,2300.0,0.4198875124115401,0.0,0.0
8,80,3,2400.0,0.4208908465102081,0.0,0.0
8,80,3,2500.0,0.41681718524138833,0.0,0.0
8,80,3,2600.0,0.4120433287854173,0.0,0.0
8,80,3,2700.0,0.4114227703722049,0.0,0.0
8,80,3,2800.0,0.40653607702704603,0.0,0.0
8,80,3,2900.0,0.4062961842788103,0.0,0.0
8,80,3,3000.0,0.42498020543073733,0.0,0.0
8,80,3,3100.0,0.4273360691523852,0.0,0.0
8,80,3,3200.0,0.42674700603738586,0.0,0.0
8,80,3,3300.0,0.42007752618132777,0.0,0.0
8,80,3,3400.0,0.4205213616704273,0.0,0.0
8,80,3,3500.0,0.44265321341115615,0.0,0.0
8,80,3,3600.0,0.4374047029068562,0.0,0.0
8,80,3,3700.0,0.4352097097270383,0.0,0.0
8,80,3,3800.0,0.4315967717321266,0.0,0.0
8,80,3,3900.0,0.43140903934159874,0.0,0.0
8,80,3,4000.0,0.43190586535623193,0.0,0.0
8,80,3,4100.0,0.43130712770567536,0.0,0.0
8,80,3,4200.0,0.4388709776814661,0.0,0.0
8,80,3,4300.0,0.4377614975345596,0.0,0.0
8,80,3,4400.0,0.4408197608824292,0.0,0.0
8,80,3,4500.0,0.44822043312871834,0.0,0.0
8,80,3,4600.0,0.46333312189349274,0.0,0.0
8,80,3,4700.0,0.458219899163007,0.0,0.0
8,80,3,4800.0,0.46105814009694446,0.0,0.0
8,80,3,4900.0,0.45660777012152454,0.0,0.0
8,80,3,5000.0,0.4563259258193858,0.0,0.0
8,80,6,0.0,0.0,0.0,0.0
8,80,6,100.0,1.0600851857865368,0.0,0.0
8,80,6,200.0,1.005471119301102,0.0,0.0
8,80,6,300.0,1.1539902793757535,0.0,0.0
8,80,6,400.0,1.5948458312157257,0.0,0.0
8,80,6,500.0,1.919177293336107,0.0,0.0
8,80,6,600.0,2.161203681351347,0.0,0.0
8,80,6,700.0,2.5602240117064263,0.0,0.0
8,80,6,800.0,2.8429988300701963,0.0,0.0
8,80,6,900.0,2.7769421753860364,0.0,0.0
8,80,6,1000.0,2.61734396612456,0.0,0.0
8,80,6,1100.0,2.5188611540503425,0.0,0.0
8,80,6,1200.0,2.569686931665755,0.0,0.0
8,80,6,1300.0,2.778811770579444,0.0,0.0
8,80,6,1400.0,2.7897935164250605,0.0,0.0
8,80,6,1500.0,2.7273219056793168,0.0,0.0
8,80,6,1600.0,2.7139637576797377,0.0,0.0
8,80,6,1700.0,2.6353668942455672,0.0,0.0
8,80,6,1800.0,2.7302784979539525,0.0,0.0
8,80,6,1900.0,2.8067999039273435,0.0,0.0
8,80,6,2000.0,2.7347343670495916,0.0,0.0
8,80,6,2100.0,2.714457819425357,0.0,0.0
8,80,6,2200.0,2.7116041437515612,0.0,0.0
8,80,6,2300.0,2.801027776195508,0.0,0.0
8,80,6,2400.0,2.881879894170827,0.0,0.0
8,80,6,2500.0,2.8586062945363633,0.0,0.0
8,80,6,2600.0,2.846006978771037,0.0,0.0
8,80,6,2700.0,2.9550371633629045,0.0,0.0
8,80,6,2800.0,3.0305792263002695,0.0,0.0
8,80,6,2900.0,3.15664537139591,0.0,0.0
8,80,6,3000.0,3.2550829078479375,0.0,0.0
8,80,6,3100.0,3.206627418907122,0.0,0.0
8,80,6,3200.0,3.220852958300756,0.0,0.0
8,80,6,3300.0,3.312556199301371,0.0,0.0
8,80,6,3400.0,3.4274813398547943,0.0,0.0
8,80,6,3500.0,3.503518117270684,0.0,0.0
8,80,6,3600.0,3.4667133471485445,0.0,0.0
8,80,6,3700.0,3.427980047348105,0.0,0.0
8,80,6,3800.0,3.378222888850787,0.0,0.0
8,80,6,3900.0,3.3301471833355976,0.0,0.0
8,80,6,4000.0,3.2952194758794016,0.0,0.0
8,80,6,4100.0,3.306306685835924,0.0,0.0
8,80,6,4200.0,3.320641288673456,0.0,0.0
8,80,6,4300.0,3.304530774904649,0.0,0.0
8,80,6,4400.0,3.343353542221752,0.0,0.0
8,80,6,4500.0,3.29089752851197,0.0,0.0
8,80,6,4600.0,3.257128705126774,0.0,0.0
8,80,6,4700.0,3.22941111324476,0.0,0.0
