SI_max,Arrival_Rate,Time,Transient_Response_Time_Mean,Transient_Response_Time_Variance,Transient_Response_Time_CI95
10,1,0.0,0.0,0.0,0.0
10,1,100.0,0.2145555158394289,0.012610509677744852,0.022010119031487457
10,1,200.0,0.22320276323755087,0.009486566933345385,0.019090205743034733
10,1,300.0,0.22439240596257914,0.009249059749996513,0.01884971828319633
10,1,400.0,0.2260188570856334,0.005582624534571402,0.014644524714721711
10,1,500.0,0.2251465993035068,0.0037334889890862292,0.011976047470043553
10,1,600.0,0.22351947527619917,0.0029430478744274166,0.010632973579577994
10,1,700.0,0.22445298615988554,0.0024631727572708107,0.009727550803944201
10,1,800.0,0.22168443630794402,0.0018284042056895373,0.008380929302038603
10,1,900.0,0.22409681388635638,0.0016825136133150967,0.008039617090951082
10,1,1000.0,0.2236372537510951,0.0013890275464650168,0.007304853333572146
10,1,1100.0,0.22364137079288943,0.0012309291612603065,0.006876581611453174
10,1,1200.0,0.22479104058802898,0.0010656371613102307,0.006398243289286038
10,1,1300.0,0.22400444861610683,0.0010903374625449793,0.006471970639699158
10,1,1400.0,0.22315769863775917,0.0010272167430418848,0.00628184355111595
10,1,1500.0,0.2239718960007353,0.0009912403369209254,0.006170858026494716
10,1,1600.0,0.22350677774590766,0.000907389334703524,0.005904089149222814
10,1,1700.0,0.22241772188379672,0.0008965804167379728,0.0058688187303243535
10,1,1800.0,0.22236313950782954,0.0008236876340842806,0.005625191921257596
10,1,1900.0,0.22135050957607352,0.0007837422342418285,0.005487097745678866
10,1,2000.0,0.22102759680570563,0.0007794378241539302,0.0054720090874099785
10,1,2100.0,0.22108455282832806,0.0007567732349748192,0.005391864296770891
10,1,2200.0,0.22055724388614156,0.0007530118951120651,0.005378448192799211
10,1,2300.0,0.22050668837626378,0.0007239102400732719,0.0052734936979819
10,1,2400.0,0.2203605720000403,0.0007113891811687363,0.00522768847424731
10,1,2500.0,0.22054579312776942,0.000772559723236828,0.005447811884405149
10,1,2600.0,0.21988725690230532,0.0007357857369046873,0.005316572661868778
10,1,2700.0,0.22085789258634386,0.0007282845105168486,0.005289402400651255
10,1,2800.0,0.22085880407387137,0.0006855013029766048,0.005131687642009132
10,1,2900.0,0.22086757777992913,0.0006727216661407681,0.005083628185308575
10,1,3000.0,0.22094433122403134,0.0006469045003983931,0.004985126205754943
10,1,3100.0,0.22109224886072756,0.0006334848995684711,0.004933148680287509
10,1,3200.0,0.22090497738150824,0.0006153375753596593,0.004861975760430801
10,1,3300.0,0.2207437023431285,0.0006050274442566698,0.004821071903484144
10,1,3400.0,0.22046665216617972,0.000606669808726824,0.004827610938347215
10,1,3500.0,0.2207381848772175,0.0005720412078086236,0.004687807060788241
10,1,3600.0,0.22069736242463098,0.0005454544483441216,0.0045775733841837835
10,1,3700.0,0.2204224351293599,0.0005104828725088841,0.004428398133671056
10,1,3800.0,0.21997207453378823,0.0004895608231593002,0.00433670019513543
10,1,3900.0,0.22020928828482172,0.0004733905360866854,0.004264477791512826
10,1,4000.0,0.2200929830276902,0.0004457242513969002,0.004137987776886649
10,1,4100.0,0.22016794443423351,0.0004489866885177946,0.004153103974872239
10,1,4200.0,0.21987912275548507,0.00044589484800090106,0.004138779588333088
10,1,4300.0,0.22015626591479,0.0004375164653362162,0.004099711274267504
10,1,4400.0,0.21960899615681045,0.0004168487827041241,0.004001707490104896
10,1,4500.0,0.21996499508668255,0.0004087460769721097,0.0039626240413342985
10,1,4600.0,0.22045482087701176,0.00039721036298684143,0.003906306862562451
10,1,4700.0,0.2204682405990431,0.00037509430036360944,0.003796000874969396
10,1,4800.0,0.2198586182946246,0.00036078343403446255,0.003722882807968566
10,1,4900.0,0.21979905989153845,0.0003604690462073196,0.0037212603885109128
