Seed,SI_max,Arrival_Rate,Time,Transient_Response_Time_Mean,Transient_Response_Time_Variance,Transient_Response_Time_CI95
8,40,6.66,0.0,0.0,0.0,0.0
8,40,6.66,100.0,1.4989298707931034,0.0,0.0
8,40,6.66,200.0,1.4335607515330422,0.0,0.0
8,40,6.66,300.0,1.9206226484037197,0.0,0.0
8,40,6.66,400.0,2.435440182446844,0.0,0.0
8,40,6.66,500.0,2.6795481652383355,0.0,0.0
8,40,6.66,600.0,2.8351008412338166,0.0,0.0
8,40,6.66,700.0,3.002727373924277,0.0,0.0
8,40,6.66,800.0,3.0334161614402615,0.0,0.0
8,40,6.66,900.0,2.995288670095408,0.0,0.0
8,40,6.66,1000.0,2.9116635371028408,0.0,0.0
8,40,6.66,1100.0,2.8933304230501005,0.0,0.0
8,40,6.66,1200.0,2.9532317215869064,0.0,0.0
8,40,6.66,1300.0,2.9658577257038865,0.0,0.0
8,40,6.66,1400.0,2.917814834319909,0.0,0.0
8,40,6.66,1500.0,2.883852065597025,0.0,0.0
8,40,6.66,1600.0,2.9283576550374497,0.0,0.0
8,40,6.66,1700.0,2.9781731751965754,0.0,0.0
8,40,6.66,1800.0,2.986874847407232,0.0,0.0
8,40,6.66,1900.0,2.903893879100928,0.0,0.0
8,40,6.66,2000.0,2.8552647732292464,0.0,0.0
8,40,6.66,2100.0,2.9196656452124747,0.0,0.0
8,40,6.66,2200.0,2.9986482112380886,0.0,0.0
8,40,6.66,2300.0,3.049779950105068,0.0,0.0
8,40,6.66,2400.0,3.0805325795342613,0.0,0.0
8,40,6.66,2500.0,3.0851349478878105,0.0,0.0
8,40,6.66,2600.0,3.1241685264450827,0.0,0.0
8,40,6.66,2700.0,3.1792428000145954,0.0,0.0
8,40,6.66,2800.0,3.205448728736968,0.0,0.0
8,40,6.66,2900.0,3.2015476334922295,0.0,0.0
8,40,6.66,3000.0,3.2145970627864298,0.0,0.0
8,40,6.66,3100.0,3.20326157329803,0.0,0.0
8,40,6.66,3200.0,3.1602892245189684,0.0,0.0
8,40,6.66,3300.0,3.1732092132766487,0.0,0.0
8,40,6.66,3400.0,3.2245782293441567,0.0,0.0
8,40,6.66,3500.0,3.2520197109361217,0.0,0.0
8,40,6.66,3600.0,3.2523364204983247,0.0,0.0
8,40,6.66,3700.0,3.226494433285178,0.0,0.0
8,40,6.66,3800.0,3.1949585375025435,0.0,0.0
8,40,6.66,3900.0,3.1732919981301326,0.0,0.0
8,40,6.66,4000.0,3.192777035653549,0.0,0.0
8,40,6.66,4100.0,3.188449006002251,0.0,0.0
8,40,6.66,4200.0,3.147051201881887,0.0,0.0
8,40,6.66,4300.0,3.1317255567720386,0.0,0.0
8,40,6.66,4400.0,3.105478903846134,0.0,0.0
8,40,6.66,4500.0,3.0715722965416465,0.0,0.0
8,40,6.66,4600.0,3.067557287608242,0.0,0.0
8,40,6.66,4700.0,3.0876758563098665,0.0,0.0
8,40,6.66,4800.0,3.0890131967024557,0.0,0.0
8,40,6.66,4900.0,3.072900647753393,0.0,0.0
8,40,6.66,5000.0,3.0872165386355435,0.0,0.0
8,80,6.66,0.0,0.0,0.0,0.0
8,80,6.66,100.0,1.4989298707931034,0.0,0.0
8,80,6.66,200.0,1.4335607515330422,0.0,0.0
