Time,Transient Response Time Mean,Transient Response Time CI95
0.0,0.0,0.0
100.0,2.214110065030208,0.2092252671268486
200.0,2.9470234902627985,0.2431545531690462
300.0,3.4307298304166087,0.268788999149657
400.0,3.830741908277449,0.2857453707772506
500.0,4.161865415043871,0.2902210153565904
600.0,4.441840195349514,0.2917905426311302
700.0,4.696792478306438,0.2928124257005972
800.0,4.9273496507982575,0.2889426052011963
900.0,5.115254763953974,0.2816523712103613
1000.0,5.286221775951698,0.2728913866439666
1100.0,5.434302686308858,0.2655044107152072
1200.0,5.567254395570759,0.2573934385604709
1300.0,5.685605948591865,0.250228914080526
1400.0,5.772211762937817,0.2400885023541794
1500.0,5.850009546181875,0.2292384320815317
1600.0,5.915559695891045,0.2226590176404679
1700.0,5.983608229259006,0.2199531282428218
1800.0,6.05055958368393,0.217364685839219
1900.0,6.09570345572302,0.2138743749119231
2000.0,6.136808581265702,0.2101506873517812
2100.0,6.177122257713269,0.2058791421761538
2200.0,6.215145288367389,0.2027505470747563
2300.0,6.254892246783663,0.2001538723901564
2400.0,6.27380090633483,0.1998245362549839
2500.0,6.285018699821645,0.1997513611301533
2600.0,6.300766429352401,0.2005479793433243
2700.0,6.318873963691485,0.1990142289852028
2800.0,6.341386306161732,0.1963780783929166
2900.0,6.3608957300839615,0.1940341691273543
3000.0,6.383446125866268,0.1915571256474381
3100.0,6.412785539707689,0.1876752312757774
3200.0,6.444661851868667,0.1835777484207837
3300.0,6.472015391193184,0.1824803182798768
3400.0,6.490926535713048,0.181840906918848
3500.0,6.510721096688847,0.1813111964152105
3600.0,6.531326257678791,0.1801432752192252
3700.0,6.5483000030805405,0.1779765776402913
3800.0,6.564152748306473,0.1761451283231338
3900.0,6.573272902920239,0.1740360656279026
4000.0,6.583209047649628,0.1728968546316093
4100.0,6.592233283755973,0.1716276297466466
4200.0,6.598453949417382,0.1702586126838728
4300.0,6.604264541109437,0.1689830679665943
4400.0,6.610428269046153,0.167160498857623
4500.0,6.620540943073018,0.1664138829855628
4600.0,6.630316860470597,0.1661007830980388
4700.0,6.641159965776152,0.1646840178833133
4800.0,6.648190554019163,0.163178684332149
4900.0,6.655220618454854,0.1605923052809885
5000.0,6.667846444697242,0.1587221510833156
