SI max,Web Response Time Mean,Web Response Time CI95,Spike Response Time Mean,Spike Response Time CI95
10,0.9096306148578214,0.0075076502932126,0.4589146437354064,0.01150880561696
20,1.7015077719104057,0.0197434852427725,0.4206788442358001,0.0101956891745113
30,2.5320034272787213,0.0375401476540273,0.4043942310339434,0.0084995282613154
40,3.425193328808297,0.0605338996370225,0.4061200774184755,0.0094662383201575
50,4.356688504614335,0.091152635687409,0.4164680536823107,0.0108349408619542
60,5.367466857800347,0.125244255590847,0.4113300648762782,0.0113081945480362
70,6.4252798174463335,0.1667416760465804,0.4076078144448103,0.0107361801707099
80,7.519774951612598,0.2102856615272479,0.4128551080775918,0.0130122200075123
90,8.615723587686109,0.2536326697866197,0.4070319156628406,0.0103039631336884
100,9.73759482945539,0.3010954081464657,0.404017839161325,0.013298730548052
110,10.885121591979482,0.3461613016188385,0.412625635184936,0.0145192058872208
120,11.974678083856524,0.3967199604072466,0.4023256698623125,0.0144957772380064
130,13.019945033506255,0.4449756552078165,0.4062536788274473,0.0142847025235049
140,14.03857612933878,0.5003548406645412,0.4152056643546603,0.0138839650848685
150,15.056032178475812,0.5573703227796664,0.4169382134108778,0.0153053078274752
160,16.014633429821284,0.6098595816685046,0.406626983518652,0.0131790096874552
