Time,SI max,Transient Response Time Mean,Transient Response Time CI95
0.0,10,0.0,0.0
100.0,10,0.2145555158394289,0.0220101190314874
200.0,10,0.2232027632375508,0.0190902057430347
300.0,10,0.2243924059625791,0.0188497182831963
400.0,10,0.2260188570856334,0.0146445247147217
500.0,10,0.2251465993035068,0.0119760474700435
600.0,10,0.2235194752761991,0.0106329735795779
700.0,10,0.2244529861598855,0.0097275508039442
800.0,10,0.221684436307944,0.0083809293020386
900.0,10,0.2240968138863563,0.008039617090951
1000.0,10,0.2236372537510951,0.0073048533335721
1100.0,10,0.2236413707928894,0.0068765816114531
1200.0,10,0.2247910405880289,0.006398243289286
1300.0,10,0.2240044486161068,0.0064719706396991
1400.0,10,0.2231576986377591,0.0062818435511159
1500.0,10,0.2239718960007353,0.0061708580264947
1600.0,10,0.2235067777459076,0.0059040891492228
1700.0,10,0.2224177218837967,0.0058688187303243
1800.0,10,0.2223631395078295,0.0056251919212575
1900.0,10,0.2213505095760735,0.0054870977456788
2000.0,10,0.2210275968057056,0.0054720090874099
2100.0,10,0.221084552828328,0.0053918642967708
2200.0,10,0.2205572438861415,0.0053784481927992
2300.0,10,0.2205066883762637,0.0052734936979819
2400.0,10,0.2203605720000403,0.0052276884742473
2500.0,10,0.2205457931277694,0.0054478118844051
2600.0,10,0.2198872569023053,0.0053165726618687
2700.0,10,0.2208578925863438,0.0052894024006512
2800.0,10,0.2208588040738713,0.0051316876420091
2900.0,10,0.2208675777799291,0.0050836281853085
3000.0,10,0.2209443312240313,0.0049851262057549
3100.0,10,0.2210922488607275,0.0049331486802875
3200.0,10,0.2209049773815082,0.0048619757604308
3300.0,10,0.2207437023431285,0.0048210719034841
3400.0,10,0.2204666521661797,0.0048276109383472
3500.0,10,0.2207381848772175,0.0046878070607882
3600.0,10,0.2206973624246309,0.0045775733841837
3700.0,10,0.2204224351293599,0.004428398133671
3800.0,10,0.2199720745337882,0.0043367001951354
3900.0,10,0.2202092882848217,0.0042644777915128
4000.0,10,0.2200929830276902,0.0041379877768866
4100.0,10,0.2201679444342335,0.0041531039748722
4200.0,10,0.219879122755485,0.004138779588333
4300.0,10,0.22015626591479,0.0040997112742675
4400.0,10,0.2196089961568104,0.0040017074901048
4500.0,10,0.2199649950866825,0.0039626240413342
4600.0,10,0.2204548208770117,0.0039063068625624
4700.0,10,0.2204682405990431,0.0037960008749693
4800.0,10,0.2198586182946246,0.0037228828079685
4900.0,10,0.2197990598915384,0.0037212603885109
5000.0,10,0.2201824971052018,0.003784279359497
0.0,20,0.0,0.0
100.0,20,0.2145566899537461,0.0220095166126696
200.0,20,0.2232054299629604,0.0190875014446242
300.0,20,0.2245846126784925,0.0189350911721613
400.0,20,0.2261549482677728,0.0147391004286026
500.0,20,0.2252515754635962,0.0120570291951636
600.0,20,0.2236089632612856,0.0106790175717858
700.0,20,0.2245077705521494,0.0097693535795708
800.0,20,0.2217335242738986,0.0084134113492664
900.0,20,0.2241583979009386,0.0080636071451448
1000.0,20,0.2237277647685406,0.0073498390390821
1100.0,20,0.223707115004309,0.0068957799562877
1200.0,20,0.2248705908635657,0.0064234975962349
1300.0,20,0.2240821411541343,0.0064911028121533
1400.0,20,0.223200665338505,0.0062841240273018
1500.0,20,0.2240175808141955,0.0061704338318943
1600.0,20,0.2235188597574799,0.0059036568280064
1700.0,20,0.2224480657545864,0.0058766086198493
1800.0,20,0.2223869497885074,0.0056360202453353
1900.0,20,0.2213838648058837,0.0054968171215132
2000.0,20,0.221057180251926,0.0054791606188247
2100.0,20,0.2211051562638639,0.0053962908800855
2200.0,20,0.220585610308003,0.0053847682248299
2300.0,20,0.2205283792210447,0.0052757547078444
2400.0,20,0.2203701110797009,0.0052272166357842
2500.0,20,0.2205811413627387,0.0054476334398852
2600.0,20,0.219929026701146,0.0053150666694241
2700.0,20,0.2209067079817455,0.0053015649493019
2800.0,20,0.2208698154653225,0.0051296512812148
2900.0,20,0.2208819326192644,0.0050825751858508
3000.0,20,0.2209575830452947,0.0049817430461507
3100.0,20,0.2211082186508015,0.0049298816966637
3200.0,20,0.2209314916284701,0.0048603437993144
3300.0,20,0.2207663034914084,0.004820060547497
3400.0,20,0.2204973652683252,0.0048256479498102
3500.0,20,0.2207726847684211,0.0046864681782401
3600.0,20,0.2207487727178815,0.0045812448350121
3700.0,20,0.2204649282192001,0.0044302382518226
