SI max,Arrival Rate,Total Response Time Mean,Total Response Time CI95
100,1.0,0.2194827138674455,0.0038337131838626
100,2.0,0.3176500326893178,0.0052740653928711
100,3.0,0.4898990249090413,0.01110877129425
100,4.0,0.8363247113471697,0.0196525483920753
100,5.0,1.6728611134324998,0.0579920673458234
100,6.0,5.261669190601344,0.2925765838647938
100,7.0,9.985631096514211,0.1476607596676938
100,8.0,10.243580848710216,0.0413992502321389
100,9.0,9.63985293726189,0.0287292092286978
100,10.0,8.946483947070947,0.0284171977147009
100,11.0,8.30561182904316,0.025124448261055
100,12.0,7.718437767097006,0.0227385250214055
120,1.0,0.2194827138674455,0.0038337131838626
120,2.0,0.317650032689318,0.0052740653928711
120,3.0,0.4898990249090416,0.01110877129425
120,4.0,0.8363247113471696,0.0196525483920753
120,5.0,1.6729245924431146,0.0580457858743091
120,6.0,5.824668803066299,0.3820395969564721
120,7.0,12.370606891863826,0.1899640404289218
120,8.0,12.626132709520702,0.0481831361442717
120,9.0,11.816950614409963,0.0361824530332662
120,10.0,10.925242961065154,0.034980628788587
120,11.0,10.120268695704048,0.031157812535003
120,12.0,9.38998500075145,0.0282240708107968
140,1.0,0.2194827138674454,0.0038337131838626
140,2.0,0.3176500326893179,0.0052740653928711
140,3.0,0.4898990249090417,0.01110877129425
140,4.0,0.8363247113471696,0.0196525483920753
140,5.0,1.6729245924431155,0.0580457858743091
140,6.0,6.256869247609373,0.4692806185459245
140,7.0,14.73575568261479,0.2389670367864547
140,8.0,15.009733569746798,0.0583316354058407
140,9.0,14.00196588217908,0.0433848924737003
140,10.0,12.914621933843485,0.0416167111648859
140,11.0,11.942172722890572,0.0378814101708067
140,12.0,11.065286285813675,0.0341050567190689
160,1.0,0.2194827138674454,0.0038337131838626
160,2.0,0.3176500326893179,0.0052740653928711
160,3.0,0.4898990249090416,0.01110877129425
160,4.0,0.8363247113471699,0.0196525483920753
160,5.0,1.6729245924431158,0.0580457858743091
160,6.0,6.512216975180324,0.5295594441259334
160,7.0,17.047444066780606,0.2882818369677339
160,8.0,17.403272229910563,0.0704635024309879
160,9.0,16.201865483435107,0.0533932022976485
160,10.0,14.915001391501468,0.0496795921747083
160,11.0,13.771362939604373,0.0446836430557854
160,12.0,12.747418180988326,0.0402183081972736
