Time,Arrival Rate,Transient Response Time Mean,Transient Response Time CI95
0.0,1,0.0,0.0
100.0,1,0.2145566899537461,0.0220095166126696
200.0,1,0.2232054299629603,0.0190875014446242
300.0,1,0.2245846126784924,0.0189350911721613
400.0,1,0.2261549482677729,0.0147391004286026
500.0,1,0.2252515754635962,0.0120570291951636
600.0,1,0.2236089632612855,0.0106790175717858
700.0,1,0.2245077705521494,0.0097693535795708
800.0,1,0.2217335242738986,0.0084134113492664
900.0,1,0.2241583979009387,0.0080636071451448
1000.0,1,0.2237277647685406,0.0073498390390821
1100.0,1,0.223707115004309,0.0068957799562877
1200.0,1,0.2248705908635659,0.0064234975962349
1300.0,1,0.2240821411541343,0.0064911028121533
1400.0,1,0.223200665338505,0.0062841240273018
1500.0,1,0.2240175808141955,0.0061704338318943
1600.0,1,0.2235188597574799,0.0059036568280064
1700.0,1,0.2224480657545863,0.0058766086198493
1800.0,1,0.2223869497885073,0.0056360202453353
1900.0,1,0.2213838648058836,0.0054968171215132
2000.0,1,0.221057180251926,0.0054791606188247
2100.0,1,0.2211051562638638,0.0053962908800855
2200.0,1,0.220585610308003,0.0053847682248299
2300.0,1,0.2205283792210446,0.0052757547078444
2400.0,1,0.2203701110797009,0.0052272166357842
2500.0,1,0.2205811413627387,0.0054476334398852
2600.0,1,0.2199290267011461,0.0053150666694241
2700.0,1,0.2209067079817455,0.0053015649493019
2800.0,1,0.2208698154653223,0.0051296512812148
2900.0,1,0.2208819326192644,0.0050825751858508
3000.0,1,0.2209575830452948,0.0049817430461507
3100.0,1,0.2211082186508015,0.0049298816966637
3200.0,1,0.2209314916284701,0.0048603437993144
3300.0,1,0.2207663034914084,0.004820060547497
3400.0,1,0.2204973652683252,0.0048256479498102
3500.0,1,0.2207726847684212,0.0046864681782401
3600.0,1,0.2207487727178815,0.0045812448350121
3700.0,1,0.2204649282192002,0.0044302382518226
3800.0,1,0.2200117795721426,0.0043375272770952
3900.0,1,0.2202227425271249,0.0042652620498725
4000.0,1,0.2201245117783537,0.0041398019815612
4100.0,1,0.2202005875515956,0.0041551705960246
4200.0,1,0.219882035568262,0.004137987281114
4300.0,1,0.2201481342294021,0.0040969106335888
4400.0,1,0.2196044027046165,0.0039991490470441
4500.0,1,0.2199558175086551,0.0039606634190008
4600.0,1,0.220442161951668,0.0039044763988365
4700.0,1,0.2204565037640092,0.0037944665415922
4800.0,1,0.219843918082678,0.00372220319046
4900.0,1,0.2197788628648575,0.0037206836654907
5000.0,1,0.2201525238979099,0.0037815254854897
0.0,2,0.0,0.0
100.0,2,0.3026883857414081,0.0312373398242546
200.0,2,0.3176353680556257,0.0285658392889632
300.0,2,0.3174594408753584,0.0225129413196655
400.0,2,0.3104177699736714,0.0176113341597446
500.0,2,0.3139446348522851,0.0155631888889337
600.0,2,0.3110515407566709,0.0137101498134092
700.0,2,0.3118857272387186,0.0129667347068689
800.0,2,0.3153192180714907,0.0117919283648506
900.0,2,0.3136380346743135,0.0105479981440631
1000.0,2,0.312939779684003,0.010341528570973
1100.0,2,0.3124910452512823,0.0101203992038316
1200.0,2,0.3132749178466444,0.0099499888741421
1300.0,2,0.3145107108974752,0.011152048166036
1400.0,2,0.3151256475647561,0.0106884989576739
1500.0,2,0.3135269364126364,0.0099596945862782
1600.0,2,0.3136323862730268,0.0099956597940464
1700.0,2,0.3150497186078892,0.0100094215493187
1800.0,2,0.3157219367563396,0.009371117730296
1900.0,2,0.3155509914895704,0.0089541928475527
2000.0,2,0.3165520270371277,0.0085380848547002
2100.0,2,0.3152360172386514,0.0083745630172989
2200.0,2,0.3141209815616428,0.0081078180439414
2300.0,2,0.3149468557979279,0.0081389896774455
2400.0,2,0.3155398914583807,0.0080057378289611
2500.0,2,0.3163653952170603,0.0079165732074507
2600.0,2,0.3156191106267809,0.0078210338215254
2700.0,2,0.3163423907575144,0.0076417133316797
2800.0,2,0.3159755204521336,0.0073197414627124
2900.0,2,0.317232921007302,0.0073856960750677
3000.0,2,0.3171173732391974,0.0071356467024795
3100.0,2,0.3166730210664294,0.0069440318234549
3200.0,2,0.3163124799588453,0.006632839030952
3300.0,2,0.316583714255861,0.0065302835169593
3400.0,2,0.3159964141331121,0.0062781690294846
3500.0,2,0.3158980871369714,0.0061666297648465
3600.0,2,0.3159423068751664,0.006193599311412
3700.0,2,0.3160366930582785,0.0058861404452479
3800.0,2,0.3154015448769924,0.005821054130244
3900.0,2,0.315185328878727,0.0055615618959824
4000.0,2,0.3162182910539752,0.0057043661337098
4100.0,2,0.3159371605821127,0.0057094132749669
4200.0,2,0.3157452803441282,0.0057289420115098
4300.0,2,0.3156364864349132,0.0056111396295658
4400.0,2,0.315408915398481,0.0056527639525204
4500.0,2,0.3158717523884374,0.0056207022137068
4600.0,2,0.3159755720697458,0.0055845230396924
4700.0,2,0.3159826131798265,0.0054378177419449
4800.0,2,0.3168084601789301,0.0054096886396707
4900.0,2,0.3168936973019583,0.0053360320891781
5000.0,2,0.3182414901949832,0.0056599200018428
0.0,3,0.0,0.0
100.0,3,0.4590734048396642,0.0471425061177285
200.0,3,0.4845796331428474,0.0334080097601035
300.0,3,0.4784699882663329,0.0266578062340453
400.0,3,0.474958447298634,0.0223539550203203
500.0,3,0.476674627380572,0.02313943799895
600.0,3,0.4714958220307076,0.0207085275688017
700.0,3,0.4749707091173746,0.0194995403765526
800.0,3,0.4830621231890134,0.0219323385136471
900.0,3,0.4837212023594561,0.0225499550437843
1000.0,3,0.4843898182934972,0.0217922875128947
1100.0,3,0.4830607581906309,0.0215726335068575
