SI max,Arrival Rate,Total Response Time Mean,Total Response Time CI95
20,1.0,0.2194827138674454,0.0038337131838626
20,2.0,0.317648905925649,0.0052503006989623
20,3.0,0.4875522629144329,0.0098673422257635
20,4.0,0.7701529024969702,0.0126320882052301
20,5.0,1.1276799947088223,0.0162651905377621
20,6.0,1.3977051205108566,0.0158003099104442
20,7.0,1.5422507508224756,0.0123014061437839
20,8.0,1.63207386510922,0.0110680566716854
20,9.0,1.735747937733936,0.0140377776828381
20,10.0,1.9531510185695904,0.0319637163285441
20,11.0,2.5122315902115395,0.068486702972982
20,12.0,5.190711438454839,0.4601895575667962
40,1.0,0.2194827138674455,0.0038337131838626
40,2.0,0.317650032689318,0.0052740653928711
40,3.0,0.4898990249090415,0.01110877129425
40,4.0,0.8327134739520831,0.0185062217673087
40,5.0,1.5277307920256664,0.039117167837416
40,6.0,2.555938991693032,0.0532159708370463
40,7.0,3.2913409459581646,0.0395767329415552
40,8.0,3.5365037670144552,0.0226167709738116
40,9.0,3.5981588604995705,0.017440302304516
40,10.0,3.705894697393359,0.0272787879874204
40,11.0,4.162859363079827,0.0642164307481095
40,12.0,6.540092337715117,0.4375371049174706
60,1.0,0.2194827138674455,0.0038337131838626
60,2.0,0.3176500326893179,0.0052740653928711
60,3.0,0.4898990249090416,0.01110877129425
60,4.0,0.8358445440145605,0.0194025827461278
60,5.0,1.6460538443747623,0.0525106570043771
60,6.0,3.634329121495251,0.1164111358941961
60,7.0,5.34837379417982,0.0756004896890937
60,8.0,5.724297192594502,0.031870858334353
60,9.0,5.665260844907687,0.0208960770244106
60,10.0,5.612646713023594,0.0262423438970652
60,11.0,5.890127361082064,0.0594130114206595
60,12.0,8.136210386283164,0.4257888538804439
80,1.0,0.2194827138674455,0.0038337131838626
80,2.0,0.3176500326893177,0.0052740653928711
80,3.0,0.4898990249090416,0.01110877129425
80,4.0,0.8363247113471695,0.0196525483920753
80,5.0,1.6704082066436594,0.057622951442698
80,6.0,4.546727849430318,0.2028926595566467
80,7.0,7.631747096290041,0.114799540854631
80,8.0,8.033356507155045,0.0377978794943818
80,9.0,7.787230819843051,0.0239537842028182
80,10.0,7.549669437170955,0.0254596901656305
80,11.0,7.665426150861158,0.0563576236461268
80,12.0,9.762426099768843,0.4081248891339563
