SI max,Arrival Rate,Total Response Time Mean,Total Response Time CI95
10,1.0,0.2210203114550763,0.0054451210844072
10,2.0,0.3091587682132294,0.0073845883463186
10,3.0,0.4311834800322028,0.0085927479644531
10,4.0,0.5726051642248726,0.0094474026718616
10,5.0,0.6964163589171879,0.0093263895572254
10,6.0,0.7766246520669674,0.0098789154910707
10,7.0,0.8353541110785083,0.0087943540534243
10,8.0,0.9008740686334994,0.0100963135105108
10,9.0,1.0068076642916115,0.0183841146424046
10,10.0,1.2228013488841476,0.0362998650008775
10,11.0,1.7763821089516794,0.099408574435803
10,12.0,3.5733220489086697,0.3537079385060106
20,1.0,0.2210203114550764,0.0054451210844072
20,2.0,0.3103232342659092,0.0072773153855567
20,3.0,0.4598585375273216,0.0121748850336012
20,4.0,0.716802285223762,0.0187309298149531
20,5.0,1.078085950944392,0.0269007575917936
20,6.0,1.4246845067277376,0.0264133191317164
20,7.0,1.6363351476782686,0.0211626601635866
20,8.0,1.7521423735217043,0.0200167970113484
20,9.0,1.842110638381485,0.0175530048287252
20,10.0,2.012276870634918,0.0332778783705492
20,11.0,2.4231258926538475,0.0725694696849364
20,12.0,3.991179481599945,0.3098543957349529
30,1.0,0.2210203114550763,0.0054451210844072
30,2.0,0.3103232342659091,0.0072773153855567
30,3.0,0.4591568553400107,0.0122502167109221
30,4.0,0.7510707049702764,0.0263101039820586
30,5.0,1.294119677288639,0.0477694247738587
30,6.0,2.0177538387734506,0.0532097430591366
30,7.0,2.53747648999326,0.0382796900773513
30,8.0,2.7620482710566288,0.0279916617497998
30,9.0,2.8358279711096577,0.0210840726124644
30,10.0,2.9385611524874484,0.032286716993712
30,11.0,3.2798794344757125,0.0724302598821828
30,12.0,4.733058173067623,0.305643471301198
40,1.0,0.2210203114550764,0.0054451210844072
40,2.0,0.3103232342659092,0.0072773153855567
40,3.0,0.459156855340011,0.0122502167109221
40,4.0,0.7562366240843045,0.0287775008766969
40,5.0,1.3933126857866311,0.0676266394123633
40,6.0,2.575655918674672,0.0961244763229047
40,7.0,3.539358646578561,0.0618118636079655
40,8.0,3.8720371207513296,0.0358921898940997
40,9.0,3.889381997787532,0.0256279677528469
40,10.0,3.897333621795822,0.0249685219016724
40,11.0,4.168155201347909,0.0756564028916823
40,12.0,5.539806588900388,0.2982336699757067
50,1.0,0.2210203114550764,0.0054451210844072
50,2.0,0.3103232342659091,0.0072773153855567
50,3.0,0.4591568553400109,0.0122502167109221
50,4.0,0.7567605174155212,0.0301665112403072
50,5.0,1.4610760228358062,0.0858923274079849
50,6.0,3.0724316493084607,0.1533308665834904
50,7.0,4.589586046404717,0.0938667803880977
50,8.0,5.013555164180124,0.0402570881792277
50,9.0,4.960874833293618,0.0282731710666916
50,10.0,4.87199538684561,0.0257193741944978
50,11.0,5.061485103341783,0.0810372517429206
50,12.0,6.322110390022972,0.2869761035197612
60,1.0,0.2210203114550763,0.0054451210844072
60,2.0,0.3103232342659092,0.0072773153855567
60,3.0,0.4591568553400107,0.0122502167109221
60,4.0,0.7566073792783072,0.0302594160989844
60,5.0,1.4717527394167362,0.0961243257344391
60,6.0,3.457097780015199,0.1978500912975224
60,7.0,5.715762481493022,0.1186950671898474
60,8.0,6.183626674312128,0.0472324989513739
60,9.0,6.031203660905185,0.0306961864669344
60,10.0,5.850315012571414,0.0256477043146534
60,11.0,5.931865586274382,0.0770565224247781
60,12.0,7.104570371530139,0.2701255143496867
