SI max,Arrival Rate,Total Response Time Mean,Total Response Time CI95
10,1.0,0.2195267705208377,0.0038334960789348
10,2.0,0.31672514496597,0.005080297787653
10,3.0,0.4486382188554194,0.0061470681354087
10,4.0,0.585489468745596,0.0057494665077509
10,5.0,0.6707217420633103,0.0051635173295566
10,6.0,0.6998232213879727,0.0042077348434909
10,7.0,0.6937406868898438,0.0032856892026067
10,8.0,0.6693943280107375,0.0026619812655694
10,9.0,0.6380031592213466,0.0021007724859552
10,10.0,0.6054305312563792,0.0017598166081697
10,11.0,0.5739156510610198,0.001567449169353
10,12.0,0.5445114950482735,0.0015471454178441
20,1.0,0.2194827138674455,0.0038337131838626
20,2.0,0.317648615455265,0.0052501784693217
20,3.0,0.4874962628477357,0.0098522038289821
20,4.0,0.768951069149856,0.0125602745960784
20,5.0,1.1180740596670438,0.0157995387689656
20,6.0,1.3633271558198905,0.0146130457189964
20,7.0,1.4595213524833102,0.0103554496489574
20,8.0,1.4677222518215096,0.0074058823533283
20,9.0,1.4267157454162942,0.0058045293791821
20,10.0,1.3676524730458712,0.0044867091259218
20,11.0,1.30266261619394,0.0035442197878503
20,12.0,1.2382456918529705,0.0032260410184754
30,1.0,0.2194827138674455,0.0038337131838626
30,2.0,0.3176500326893179,0.0052740653928711
30,3.0,0.4894598811856172,0.0108807391904955
30,4.0,0.8207008022896625,0.0166893092971126
30,5.0,1.3863389487963185,0.0292983901802037
30,6.0,1.9848143564082312,0.0317895115328169
30,7.0,2.3069675716697704,0.021661031080225
30,8.0,2.380989031715432,0.0139025582255675
30,9.0,2.332317722196578,0.0094437636601051
30,10.0,2.2328046020981,0.0074330858081156
30,11.0,2.1168566249569807,0.0058800544950236
30,12.0,2.0027911261353566,0.0052244595570022
40,1.0,0.2194827138674455,0.0038337131838626
40,2.0,0.3176500326893179,0.0052740653928711
40,3.0,0.4898990249090414,0.01110877129425
40,4.0,0.8326734117435923,0.0184940153588214
40,5.0,1.5264903856647625,0.0389950003989244
40,6.0,2.5406918402484395,0.0523102939544732
40,7.0,3.2316526267655963,0.0373717899669071
40,8.0,3.3925226206006744,0.0201203355106922
40,9.0,3.3098457653557216,0.0129845202728682
40,10.0,3.148750477378066,0.010413508488221
40,11.0,2.971228010052477,0.0077902336597801
40,12.0,2.796054841671235,0.0074789270066621
50,1.0,0.2194827138674454,0.0038337131838626
50,2.0,0.317650032689318,0.0052740653928711
50,3.0,0.4898990249090417,0.01110877129425
50,4.0,0.8348930519664002,0.0190242369975033
50,5.0,1.6174243814679914,0.0490844456761663
50,6.0,3.10688972674356,0.0816624658061832
50,7.0,4.243691142839088,0.0537360803068361
50,8.0,4.465407718055936,0.0251562759756344
50,9.0,4.330356045949348,0.0148951082634666
50,10.0,4.088798379729941,0.0126205257735568
50,11.0,3.838770416758306,0.0104257420285375
50,12.0,3.601599495568091,0.0096323960394427
60,1.0,0.2194827138674455,0.0038337131838626
60,2.0,0.317650032689318,0.0052740653928711
60,3.0,0.4898990249090416,0.01110877129425
60,4.0,0.8358365071972786,0.0193984246900593
60,5.0,1.6458717896974235,0.0524768922401637
60,6.0,3.6257079799789538,0.1156199178096572
60,7.0,5.294025356026539,0.0735457152752961
60,8.0,5.581253558584248,0.0291589265508293
60,9.0,5.371608157322881,0.0176554388989676
60,10.0,5.04543776176371,0.0152613851274334
60,11.0,4.718412355935631,0.013113759943132
60,12.0,4.415004828879291,0.0120944927332028
70,1.0,0.2194827138674455,0.0038337131838626
70,2.0,0.3176500326893178,0.0052740653928711
70,3.0,0.4898990249090416,0.01110877129425
70,4.0,0.8363247113471698,0.0196525483920753
70,5.0,1.663505628910482,0.0563122143220742
70,6.0,4.10576933117395,0.1592937350652789
70,7.0,6.415921952860037,0.0922315138350027
