Arrival Rate,throughput measured,throughput measured CI95,theoretical max throughput
1.0,0.9889229960130298,0.0213658659363254,1.0
2.0,1.9441517134208373,0.0304153447011411,2.0
3.0,2.941110415600281,0.0366705476968199,3.0
4.0,3.940597967980037,0.0441531498629615,4.0
5.0,4.933700990694748,0.0469335139775657,5.0
6.0,5.772840314225967,0.0475002416426052,6.0
7.0,6.095767463426306,0.0552137944079034,6.25
8.0,6.125989977696118,0.0553412078624172,6.25
9.0,6.090157367554019,0.0521932431774406,6.25
10.0,6.073608980112557,0.0511707959108823,6.25
11.0,6.04917208355405,0.0474339850806202,6.25
12.0,6.058105998463497,0.0462846871944318,6.25
